time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D04,Activity_D09,Activity_D10,Activity_D11
1.708,-9.1,-2.5,2.4,-0.1,-0.0,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.71,-8.9,-2.4,2.4,-0.2,-0.1,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.8,-8.8,-2.5,2.4,-0.1,-0.1,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.801,-8.7,-2.5,2.5,-0.1,-0.1,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.803,-8.7,-2.5,2.5,-0.1,-0.0,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.805,-8.7,-2.6,2.5,-0.1,-0.0,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.806,-8.9,-2.6,2.4,-0.1,-0.0,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.9,-8.9,-2.8,2.4,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.909,-8.9,-2.7,2.3,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.911,-9.0,-2.7,2.4,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.913,-9.1,-2.6,2.4,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.914,-9.0,-2.6,2.4,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.999,-9.0,-2.7,2.3,0.2,0.1,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.001,-8.9,-2.8,2.1,0.2,0.1,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.033,-8.8,-3.0,2.1,0.2,0.1,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.035,-8.9,-3.2,2.1,0.1,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.1,-9.0,-3.3,2.0,0.1,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.102,-9.0,-3.3,1.9,0.1,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.103,-9.0,-3.3,1.9,0.2,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.105,-8.8,-3.2,1.8,0.2,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.107,-8.8,-3.3,1.7,0.2,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.2,-8.9,-3.4,1.7,0.1,0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.201,-9.1,-3.7,1.8,0.1,0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.203,-9.3,-3.8,1.8,0.1,0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.209,-9.4,-3.9,1.8,0.2,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.21,-9.3,-3.8,1.8,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.3,-9.1,-3.7,1.9,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.309,-8.9,-3.8,1.8,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.311,-8.6,-3.8,1.8,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.312,-8.4,-3.9,1.9,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.319,-8.4,-4.1,2.0,0.1,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.403,-8.6,-4.2,2.0,0.2,0.1,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.405,-8.8,-4.0,2.0,0.2,0.1,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.407,-8.8,-3.9,2.0,0.2,0.1,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.408,-8.8,-3.9,2.1,0.2,0.1,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.41,-8.8,-3.9,2.2,0.2,0.0,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.499,-9.0,-4.0,2.2,0.2,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.501,-9.2,-4.0,2.2,0.1,-0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.503,-9.5,-4.0,2.1,0.1,-0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.504,-9.8,-4.0,2.2,0.1,-0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.506,-10.1,-3.9,2.3,0.1,-0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.6,-10.2,-3.8,2.3,0.0,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.606,-10.0,-3.6,2.4,0.0,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.608,-9.8,-3.4,2.5,0.0,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.61,-9.1,-3.3,2.5,0.0,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.611,-8.6,-3.2,2.5,0.0,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.699,-8.4,-3.1,2.5,0.2,0.0,-0.4,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.705,-8.7,-2.9,2.4,0.2,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.707,-8.9,-2.8,2.2,0.1,-0.1,-0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.709,-8.9,-2.9,2.1,0.0,-0.1,-0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.71,-9.1,-3.0,2.0,-0.0,-0.1,0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.799,-9.4,-3.0,2.0,-0.0,-0.1,0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.801,-9.4,-3.1,2.0,-0.1,-0.1,0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.802,-9.4,-3.1,1.9,-0.1,-0.1,0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.804,-9.4,-3.1,1.8,-0.1,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.805,-9.5,-3.0,1.7,-0.1,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.899,-9.5,-3.0,1.7,-0.1,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.901,-9.3,-2.9,1.9,-0.1,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.903,-8.8,-2.7,2.1,-0.1,-0.1,0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.904,-8.0,-2.4,2.2,-0.0,-0.1,0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
2.906,-7.3,-2.0,2.1,-0.1,-0.1,0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.03,-6.9,-1.9,1.8,-0.2,-0.2,0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.032,-7.4,-2.1,1.9,-0.2,-0.2,0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.033,-8.6,-2.2,2.2,-0.2,-0.2,0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.035,-9.6,-2.3,2.6,-0.2,-0.2,0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.045,-10.0,-2.7,2.8,-0.2,-0.1,-0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.131,-9.7,-2.8,2.8,-0.3,0.2,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.133,-9.4,-2.6,2.9,-0.3,0.2,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.135,-9.2,-2.3,2.8,-0.3,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.136,-8.8,-2.2,3.0,-0.3,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.138,-8.5,-1.9,3.0,-0.1,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.202,-8.1,-1.7,2.8,0.1,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.204,-7.7,-1.6,2.7,0.1,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.205,-7.8,-1.7,2.8,0.1,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.211,-8.5,-2.1,2.8,-0.3,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.213,-9.3,-2.4,2.8,-0.3,0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.299,-10.0,-2.6,2.8,-0.3,0.2,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.301,-10.4,-2.7,2.9,-0.4,0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.303,-10.8,-2.7,2.9,-0.4,0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.304,-10.8,-2.7,2.8,-0.4,0.1,0.5,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.306,-10.4,-2.7,2.6,-0.4,0.0,0.5,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.399,-9.8,-2.7,2.4,-0.5,-0.0,0.4,0.2,0.6,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.401,-9.6,-2.6,2.3,-0.5,-0.0,0.4,0.2,0.6,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.403,-10.0,-2.5,2.3,-0.5,-0.0,0.4,0.2,0.6,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.413,-10.1,-2.6,2.3,-0.4,-0.1,0.3,0.2,0.6,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.416,-9.8,-2.7,2.4,-0.4,-0.1,0.2,0.2,0.6,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.499,-9.6,-2.7,2.4,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.501,-9.5,-2.8,2.5,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.502,-9.8,-3.1,2.5,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.508,-9.9,-3.2,2.6,-0.1,0.1,0.2,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.509,-9.5,-3.1,2.5,-0.1,0.1,0.2,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
3.599,-8.9,-2.9,2.5,0.2,0.1,0.2,0.2,0.5,0.3,-0.7,1,81.0,1.73,72.0,1,25,1,0,0,0,0
